Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2025/01/14 15:32,B005,A0000167,B014,A0000069,220.33,USD,220.33,USD,Cheque,0
2025/01/14 20:36,B000,A0000368,B028,A0000292,811.67,CHF,687.99,EUR,Credit Card,0
2025/01/15 06:24,B003,A0000309,B016,A0000125,126.95,EUR,126.95,EUR,Credit Card,0
2025/01/15 14:52,B024,A0000083,B012,A0000026,28.19,USD,28.19,USD,ACH,0
2025/01/15 20:24,B018,A0000268,B013,A0000297,177.8,USD,177.8,USD,Cash,0
2025/01/16 17:26,B028,A0000292,B026,A0000361,67.18,USD,67.18,USD,Wire,0
2025/01/16 19:38,B022,A0000206,B005,A0000261,19421.2,USD,19421.2,USD,Wire,1
2025/01/16 20:27,B015,A0000295,B020,A0000174,165.71,USD,165.71,USD,ACH,0
2025/01/16 20:47,B022,A0000359,B016,A0000330,27.77,EUR,27.77,EUR,Reinvestment,0
2025/01/17 03:30,B019,A0000098,B028,A0000339,9036.23,USD,9036.23,USD,ACH,1
2025/01/17 11:44,B004,A0000305,B018,A0000342,308.05,USD,308.05,USD,ACH,0
2025/01/17 18:31,B009,A0000253,B009,A0000166,102.0,EUR,102.0,EUR,Wire,0
2025/01/17 20:10,B014,A0000108,B024,A0000148,10.79,GBP,10.79,GBP,ACH,0
2025/01/18 06:21,B028,A0000318,B014,A0000283,429.8,USD,429.8,USD,ACH,0
2025/01/18 06:25,B025,A0000145,B022,A0000061,244.6,GBP,244.6,GBP,Cheque,0
2025/01/18 12:58,B019,A0000098,B002,A0000217,9922.68,CHF,9922.68,CHF,ACH,1
2025/01/18 18:50,B016,A0000125,B004,A0000240,42.58,EUR,42.58,EUR,Cash,0
2025/01/19 10:24,B016,A0000125,B010,A0000267,454.59,EUR,454.59,EUR,ACH,0
2025/01/19 16:52,B005,A0000261,B020,A0000174,97635.37,USD,97635.37,USD,Cash,1
2025/01/20 19:32,B019,A0000098,B028,A0000339,8774.07,CHF,8774.07,CHF,ACH,1
2025/01/20 20:43,B019,A0000098,B018,A0000192,8929.03,USD,8929.03,USD,ACH,1
2025/01/20 21:59,B026,A0000034,B010,A0000200,277.68,CHF,277.68,CHF,Wire,0
2025/01/21 07:51,B026,A0000374,B007,A0000383,150.86,EUR,150.86,EUR,Wire,0
2025/01/21 21:55,B021,A0000222,B013,A0000030,445.17,USD,445.17,USD,Reinvestment,0
2025/01/21 22:58,B013,A0000175,B008,A0000398,360.54,USD,360.54,USD,ACH,0
2025/01/22 04:57,B020,A0000174,B020,A0000079,49390.48,EUR,49390.48,EUR,Cash,1
2025/01/22 18:37,B008,A0000153,B009,A0000308,95.94,EUR,102.16,EUR,Cheque,0
2025/01/22 18:42,B005,A0000051,B000,A0000169,112.29,USD,112.29,USD,Credit Card,0
2025/01/22 22:47,B008,A0000291,B025,A0000124,107.02,GBP,107.02,GBP,ACH,0
2025/01/24 01:49,B023,A0000070,B009,A0000308,508.71,JPY,432.63,JPY,Wire,0
2025/01/24 09:05,B013,A0000221,B014,A0000275,942.19,EUR,942.19,EUR,Cash,0
2025/01/24 23:21,B007,A0000379,B004,A0000057,109.43,USD,109.43,USD,Credit Card,0
2025/01/25 06:47,B026,A0000374,B020,A0000282,113.61,USD,113.61,USD,Reinvestment,0
2025/01/25 06:55,B019,A0000098,B007,A0000147,8048.73,GBP,8048.73,GBP,ACH,1
2025/01/28 08:50,B003,A0000312,B019,A0000155,138.33,USD,138.33,USD,Cheque,0
2025/01/28 13:24,B002,A0000245,B010,A0000370,516.59,JPY,516.59,JPY,ACH,0
2025/01/28 21:48,B018,A0000191,B020,A0000256,15.23,USD,15.23,USD,Reinvestment,0
2025/01/28 22:00,B001,A0000055,B016,A0000133,73.01,EUR,73.01,EUR,ACH,0
2025/01/29 06:05,B025,A0000150,B012,A0000004,76.66,USD,76.66,USD,Credit Card,0
2025/01/29 09:35,B023,A0000260,B017,A0000269,14.12,USD,14.12,USD,Wire,0
2025/01/29 09:49,B021,A0000394,B024,A0000083,62.8,GBP,62.8,GBP,Wire,0
2025/01/29 18:50,B023,A0000001,B000,A0000302,66.24,EUR,66.24,EUR,Credit Card,0
2025/01/30 17:46,B017,A0000287,B007,A0000210,145.3,EUR,145.3,EUR,Wire,0
2025/01/30 22:14,B006,A0000338,B004,A0000186,616.63,CAD,616.63,CAD,Cash,0
2025/01/30 23:25,B000,A0000380,B009,A0000065,138.44,CAD,138.44,CAD,Wire,0
2025/01/31 01:28,B000,A0000169,B013,A0000284,58.33,JPY,58.33,JPY,Cheque,0
2025/01/31 09:44,B026,A0000047,B027,A0000066,170.26,USD,170.26,USD,ACH,0
2025/02/01 23:24,B014,A0000108,B005,A0000167,574.84,EUR,574.84,EUR,Wire,0
2025/02/02 05:49,B019,A0000340,B013,A0000334,61.96,JPY,61.96,JPY,Wire,0
2025/02/02 21:20,B001,A0000351,B000,A0000368,66.58,USD,66.58,USD,ACH,0
2025/02/03 12:22,B019,A0000254,B026,A0000395,335.09,USD,335.09,USD,ACH,0
2025/02/03 20:57,B023,A0000049,B007,A0000383,142.07,GBP,142.07,GBP,Cheque,0
2025/02/04 03:59,B020,A0000048,B021,A0000222,369.53,USD,369.53,USD,Cheque,0
2025/02/04 08:57,B018,A0000191,B028,A0000080,178.57,EUR,178.57,EUR,Cheque,0
2025/02/04 13:14,B021,A0000235,B024,A0000335,392.22,CAD,392.22,CAD,ACH,0
2025/02/04 13:53,B022,A0000012,B009,A0000320,58.06,EUR,58.06,EUR,ACH,0
2025/02/04 18:47,B012,A0000274,B001,A0000396,178.88,USD,178.88,USD,ACH,0
2025/02/05 14:01,B002,A0000217,B023,A0000260,143.77,USD,143.77,USD,Credit Card,0
2025/02/05 15:00,B012,A0000004,B016,A0000056,47.59,USD,47.59,USD,Credit Card,0
2025/02/06 02:43,B008,A0000038,B027,A0000201,32.47,USD,32.47,USD,ACH,0
2025/02/07 05:45,B004,A0000181,B015,A0000179,385.42,GBP,385.42,GBP,Cheque,0
2025/02/07 15:33,B014,A0000289,B009,A0000337,123.22,GBP,123.22,GBP,ACH,0
2025/02/08 03:48,B016,A0000330,B016,A0000157,58.88,USD,58.88,USD,ACH,0
2025/02/08 05:55,B023,A0000172,B016,A0000131,163.07,USD,163.07,USD,ACH,0
2025/02/08 10:48,B007,A0000118,B002,A0000032,626.92,JPY,626.92,JPY,ACH,0
2025/02/08 11:36,B024,A0000387,B013,A0000334,14.75,USD,14.75,USD,Cheque,0
2025/02/08 18:28,B020,A0000079,B007,A0000147,19460.86,EUR,19460.86,EUR,Wire,1
2025/02/09 07:11,B002,A0000126,B015,A0000016,65.68,USD,65.68,USD,ACH,0
2025/02/09 09:40,B021,A0000176,B021,A0000173,904.42,EUR,904.42,EUR,Wire,0
2025/02/10 02:37,B012,A0000004,B018,A0000191,215.41,JPY,247.36,USD,Credit Card,0
2025/02/10 14:07,B013,A0000120,B011,A0000187,421.6,EUR,421.6,EUR,Reinvestment,0
2025/02/12 22:38,B022,A0000206,B009,A0000367,51.72,USD,51.72,USD,Cheque,0
2025/02/13 23:12,B009,A0000367,B027,A0000060,52.91,EUR,52.91,EUR,ACH,0
2025/02/14 02:26,B015,A0000295,B019,A0000122,296.66,USD,296.66,USD,Cheque,0
2025/02/14 20:00,B003,A0000312,B013,A0000072,193.27,USD,193.27,USD,ACH,0
2025/02/14 21:39,B002,A0000217,B020,A0000097,331.49,EUR,331.49,EUR,Reinvestment,0
2025/02/15 12:51,B002,A0000044,B006,A0000362,147.46,USD,147.46,USD,Wire,0
2025/02/16 05:03,B003,A0000156,B022,A0000376,246.15,USD,246.15,USD,Cheque,0
2025/02/17 05:39,B008,A0000398,B003,A0000017,228.51,CHF,215.71,USD,ACH,0
2025/02/17 17:01,B003,A0000017,B005,A0000252,426.47,USD,426.47,USD,Wire,0
2025/02/18 11:47,B001,A0000351,B011,A0000093,440.41,USD,440.41,USD,Credit Card,0
2025/02/18 19:20,B028,A0000273,B006,A0000077,30.51,CHF,30.51,CHF,Cheque,0
2025/02/19 12:12,B013,A0000113,B001,A0000116,15.3,USD,15.3,USD,Wire,0
2025/02/19 22:50,B020,A0000311,B006,A0000077,545.62,GBP,545.62,GBP,Cash,0
2025/02/20 00:38,B013,A0000334,B010,A0000196,669.48,CAD,669.48,CAD,Credit Card,0
2025/02/20 01:03,B003,A0000017,B008,A0000398,58.99,USD,58.99,USD,ACH,0
2025/02/20 07:02,B007,A0000147,B019,A0000371,100556.49,EUR,100556.49,EUR,Wire,1
2025/02/21 02:32,B019,A0000371,B003,A0000119,9377.87,JPY,9377.87,JPY,Cash,1
2025/02/21 12:16,B009,A0000399,B003,A0000197,504.68,EUR,504.68,EUR,Cheque,0
2025/02/21 20:23,B019,A0000098,B026,A0000388,9763.85,USD,9763.85,USD,ACH,1
2025/02/22 00:49,B013,A0000266,B016,A0000033,319.87,USD,319.87,USD,ACH,0
2025/02/22 01:03,B014,A0000054,B019,A0000107,120.44,USD,120.44,USD,Cash,0
2025/02/22 01:26,B023,A0000260,B020,A0000097,67.87,EUR,67.87,EUR,Cash,0
2025/02/22 01:37,B003,A0000119,B023,A0000088,99195.99,CAD,99195.99,CAD,Cash,1
2025/02/23 10:08,B025,A0000036,B009,A0000337,130.43,CAD,130.43,CAD,Reinvestment,0
2025/02/24 11:13,B004,A0000272,B008,A0000341,59.35,USD,59.35,USD,Credit Card,0
2025/02/24 16:17,B023,A0000088,B007,A0000096,9387.06,EUR,9387.06,EUR,Cash,1
2025/02/25 06:13,B007,A0000345,B021,A0000222,1291.66,USD,1291.66,USD,Credit Card,0
2025/02/25 12:51,B029,A0000011,B017,A0000259,632.48,CHF,632.48,CHF,Wire,0
2025/02/25 13:27,B019,A0000098,B012,A0000162,65.83,USD,65.83,USD,Wire,0
2025/02/26 02:03,B019,A0000098,B003,A0000073,8680.7,CHF,8680.7,CHF,ACH,1
2025/02/27 01:12,B019,A0000098,B012,A0000026,9033.96,GBP,9033.96,GBP,ACH,1
2025/02/27 08:17,B004,A0000057,B004,A0000305,294.95,USD,294.95,USD,ACH,0
2025/02/27 17:01,B008,A0000341,B002,A0000245,716.68,USD,716.68,USD,ACH,0
2025/02/28 15:07,B019,A0000310,B027,A0000023,364.64,GBP,364.64,GBP,Wire,0
2025/02/28 17:02,B027,A0000323,B014,A0000289,409.12,USD,409.12,USD,Wire,0
2025/03/01 04:04,B020,A0000079,B001,A0000146,365.26,EUR,365.26,EUR,ACH,0
2025/03/01 21:35,B025,A0000005,B013,A0000297,263.72,CHF,263.72,CHF,Credit Card,0
2025/03/01 22:00,B003,A0000364,B008,A0000215,25.48,EUR,25.48,EUR,Credit Card,0
2025/03/02 02:08,B017,A0000115,B008,A0000352,198.74,USD,198.74,USD,ACH,0
2025/03/02 09:31,B008,A0000262,B009,A0000135,98.32,USD,98.32,USD,ACH,1
2025/03/02 13:02,B026,A0000363,B012,A0000372,44.35,USD,44.35,USD,ACH,0
2025/03/02 14:33,B007,A0000096,B017,A0000393,49945.14,CAD,49945.14,CAD,Wire,1
2025/03/02 18:13,B019,A0000002,B002,A0000132,1214.27,USD,1214.27,USD,Credit Card,0
2025/03/03 00:06,B019,A0000002,B010,A0000193,808.47,USD,808.47,USD,ACH,0
2025/03/03 16:57,B010,A0000062,B023,A0000212,240.02,USD,240.02,USD,Credit Card,0
2025/03/03 22:04,B015,A0000020,B016,A0000307,800.86,CAD,800.86,CAD,ACH,0
2025/03/04 12:32,B001,A0000327,B014,A0000275,183.69,USD,183.69,USD,Wire,0
2025/03/04 18:53,B002,A0000242,B019,A0000340,226.58,JPY,226.58,JPY,Reinvestment,0
2025/03/04 20:24,B011,A0000392,B007,A0000147,54.44,EUR,54.44,EUR,ACH,0
2025/03/05 16:36,B009,A0000320,B027,A0000201,280.53,GBP,280.53,GBP,ACH,0
2025/03/05 17:19,B003,A0000385,B023,A0000172,193.72,CAD,193.72,CAD,Wire,0
2025/03/05 22:14,B008,A0000095,B026,A0000363,43.25,JPY,43.25,JPY,Cheque,0
2025/03/06 06:03,B017,A0000115,B020,A0000121,171.35,CHF,171.35,CHF,Cash,0
2025/03/06 07:52,B017,A0000393,B015,A0000179,20158.89,USD,20158.89,USD,Cash,1
2025/03/06 09:09,B020,A0000097,B020,A0000048,1309.39,GBP,1309.39,GBP,ACH,0
2025/03/06 20:01,B005,A0000022,B019,A0000340,484.75,EUR,484.75,EUR,ACH,0
2025/03/08 08:44,B015,A0000179,B001,A0000327,19641.82,EUR,19641.82,EUR,Cash,1
2025/03/08 14:58,B001,A0000327,B022,A0000206,19688.86,JPY,19688.86,JPY,Cash,1
2025/03/10 01:46,B024,A0000387,B022,A0000233,190.31,CAD,190.31,CAD,Credit Card,0
2025/03/10 13:09,B019,A0000371,B028,A0000199,175.94,CAD,145.01,EUR,Cheque,0
2025/03/11 06:57,B020,A0000048,B028,A0000339,55.11,USD,55.11,USD,ACH,0
2025/03/11 12:34,B009,A0000308,B023,A0000212,153.52,USD,153.52,USD,Credit Card,0
2025/03/11 16:40,B022,A0000206,B005,A0000261,9720.2,USD,9720.2,USD,Wire,1
2025/03/11 17:36,B002,A0000279,B022,A0000041,45.82,USD,45.82,USD,Wire,0
2025/03/12 19:25,B001,A0000327,B006,A0000008,279.59,USD,318.09,USD,Wire,0
2025/03/12 22:29,B024,A0000335,B023,A0000159,278.77,USD,278.77,USD,Wire,0
2025/03/13 05:48,B027,A0000178,B009,A0000399,25.4,USD,25.4,USD,Cheque,0
2025/03/13 07:58,B019,A0000098,B017,A0000265,8429.03,CAD,7687.47,GBP,ACH,1
2025/03/13 12:36,B014,A0000182,B014,A0000251,542.0,USD,542.0,USD,Reinvestment,0
2025/03/13 15:10,B019,A0000098,B025,A0000124,9332.08,CHF,9332.08,CHF,ACH,1
2025/03/13 16:38,B029,A0000045,B003,A0000156,696.78,USD,560.27,EUR,Wire,0
2025/03/13 19:51,B023,A0000049,B005,A0000071,189.2,USD,189.2,USD,ACH,0
2025/03/14 08:56,B001,A0000278,B013,A0000003,71.55,USD,71.55,USD,Credit Card,0
2025/03/14 12:01,B027,A0000201,B009,A0000135,55.03,USD,55.03,USD,Reinvestment,0
2025/03/14 17:19,B008,A0000215,B002,A0000126,264.82,CAD,264.82,CAD,ACH,0
2025/03/15 17:24,B008,A0000298,B009,A0000076,275.12,USD,275.12,USD,Wire,0
2025/03/15 22:53,B027,A0000219,B000,A0000103,747.0,EUR,747.0,EUR,Wire,0
2025/03/16 14:59,B005,A0000252,B002,A0000009,607.88,CHF,607.88,CHF,ACH,0
2025/03/17 08:07,B026,A0000034,B019,A0000243,156.73,CAD,156.73,CAD,Cheque,0
2025/03/17 22:48,B019,A0000340,B010,A0000370,46.13,USD,46.13,USD,ACH,0
2025/03/18 01:50,B005,A0000261,B020,A0000174,9983.72,USD,9983.72,USD,Wire,1
2025/03/18 02:47,B010,A0000062,B015,A0000179,189.98,JPY,230.2,USD,Credit Card,0
2025/03/18 08:18,B006,A0000325,B010,A0000168,145.14,USD,145.14,USD,Credit Card,1
2025/03/18 17:56,B009,A0000293,B014,A0000123,96.0,USD,96.0,USD,Wire,0
2025/03/19 02:21,B011,A0000021,B016,A0000056,239.41,EUR,239.41,EUR,ACH,0
2025/03/19 02:35,B006,A0000077,B018,A0000239,104.13,CHF,104.13,CHF,Credit Card,0
2025/03/20 05:33,B002,A0000006,B024,A0000226,90.84,EUR,90.84,EUR,Credit Card,0
2025/03/20 07:27,B014,A0000108,B019,A0000002,255.34,EUR,255.34,EUR,Wire,0
2025/03/21 13:02,B018,A0000039,B009,A0000166,116.49,USD,116.49,USD,Cash,0
2025/03/21 15:03,B014,A0000283,B023,A0000111,237.11,GBP,237.11,GBP,ACH,0
2025/03/22 12:01,B023,A0000209,B002,A0000068,244.82,EUR,244.82,EUR,Credit Card,0
2025/03/23 07:39,B011,A0000392,B014,A0000281,51.76,JPY,51.76,JPY,ACH,0
2025/03/23 16:27,B000,A0000299,B007,A0000210,106.77,CHF,106.77,CHF,ACH,0
2025/03/24 06:56,B018,A0000244,B009,A0000253,881.44,USD,881.44,USD,Wire,0
2025/03/24 08:09,B020,A0000174,B020,A0000079,9476.89,USD,9476.89,USD,Cash,1
2025/03/24 17:25,B011,A0000021,B011,A0000392,17.67,USD,17.67,USD,ACH,0
2025/03/25 07:28,B016,A0000028,B003,A0000321,23.38,USD,23.38,USD,ACH,0
2025/03/25 09:01,B022,A0000246,B023,A0000248,187.17,CHF,187.17,CHF,Wire,0
2025/03/27 02:01,B023,A0000001,B001,A0000351,187.54,USD,187.54,USD,Credit Card,0
2025/03/27 20:22,B015,A0000016,B018,A0000191,159.27,GBP,159.27,GBP,ACH,0
2025/03/28 14:56,B009,A0000087,B017,A0000393,689.25,EUR,689.25,EUR,Cheque,0
2025/03/28 19:10,B013,A0000353,B016,A0000304,9.58,USD,9.58,USD,Credit Card,0
2025/03/28 19:26,B020,A0000183,B023,A0000260,280.21,USD,280.21,USD,ACH,0
2025/03/29 02:03,B014,A0000283,B026,A0000361,1009.88,EUR,1009.88,EUR,ACH,0
2025/03/30 04:29,B012,A0000164,B022,A0000206,41.64,GBP,52.43,EUR,Credit Card,0
2025/03/30 07:43,B014,A0000069,B016,A0000288,119.37,USD,119.37,USD,Credit Card,0
2025/03/30 10:24,B024,A0000148,B013,A0000113,86.08,JPY,79.19,USD,Wire,0
2025/03/30 14:22,B025,A0000036,B003,A0000385,67.78,EUR,67.78,EUR,Credit Card,0
2025/03/30 16:16,B009,A0000308,B001,A0000249,126.61,USD,126.61,USD,ACH,0
2025/03/30 16:26,B003,A0000073,B003,A0000312,871.52,CHF,871.52,CHF,Wire,0
2025/03/31 12:31,B025,A0000150,B014,A0000184,1368.03,USD,1368.03,USD,Credit Card,0
2025/03/31 20:37,B011,A0000392,B029,A0000346,125.27,USD,125.27,USD,ACH,0
2025/04/01 09:39,B019,A0000236,B013,A0000029,1473.75,EUR,1473.75,EUR,Credit Card,0
2025/04/02 19:37,B020,A0000183,B029,A0000045,188.51,EUR,188.51,EUR,Wire,0
2025/04/02 22:37,B002,A0000217,B014,A0000202,1247.7,EUR,1247.7,EUR,Credit Card,0
2025/04/02 22:53,B020,A0000079,B007,A0000147,49718.6,USD,49718.6,USD,Cash,1
2025/04/03 10:26,B005,A0000101,B027,A0000323,209.38,CAD,209.38,CAD,ACH,0
2025/04/04 06:55,B019,A0000254,B021,A0000176,270.97,USD,270.97,USD,ACH,0
2025/04/04 11:30,B004,A0000349,B017,A0000259,5983.37,USD,5983.37,USD,ACH,1
2025/04/04 12:53,B016,A0000228,B013,A0000221,462.39,USD,462.39,USD,Credit Card,0
2025/04/04 21:57,B027,A0000178,B000,A0000384,83.26,USD,83.26,USD,ACH,0
2025/04/05 02:19,B022,A0000058,B005,A0000261,526.31,EUR,526.31,EUR,ACH,0
2025/04/05 04:07,B004,A0000099,B009,A0000166,121.75,USD,121.75,USD,ACH,0
2025/04/06 02:50,B011,A0000378,B024,A0000387,105.77,EUR,105.77,EUR,ACH,0
2025/04/06 03:07,B002,A0000216,B021,A0000042,492.48,USD,492.48,USD,Credit Card,0
2025/04/06 09:55,B013,A0000120,B017,A0000393,187.58,CAD,187.58,CAD,Wire,0
2025/04/06 14:49,B005,A0000167,B022,A0000061,246.27,USD,246.27,USD,Reinvestment,0
2025/04/07 02:00,B025,A0000231,B017,A0000115,184.08,JPY,184.08,JPY,ACH,0
2025/04/07 02:32,B008,A0000215,B004,A0000328,241.46,CHF,262.5,USD,Cheque,0
2025/04/07 05:50,B002,A0000279,B009,A0000293,289.3,USD,289.3,USD,Wire,0
2025/04/07 08:55,B024,A0000102,B026,A0000388,21.53,GBP,21.53,GBP,Wire,0
2025/04/07 11:52,B017,A0000259,B000,A0000299,377.37,EUR,377.37,EUR,Credit Card,0
2025/04/07 12:33,B004,A0000177,B019,A0000254,61.55,GBP,61.55,GBP,Reinvestment,0
2025/04/07 12:38,B007,A0000147,B019,A0000371,50114.83,USD,50114.83,USD,Wire,1
2025/04/08 23:43,B029,A0000063,B023,A0000001,169.99,EUR,169.99,EUR,ACH,0
2025/04/09 23:01,B020,A0000059,B023,A0000049,198.82,JPY,198.82,JPY,ACH,0
2025/04/10 02:44,B014,A0000184,B003,A0000119,84.53,EUR,84.53,EUR,Cheque,0
2025/04/10 03:02,B020,A0000203,B015,A0000016,452.2,USD,452.2,USD,ACH,0
2025/04/10 09:16,B014,A0000276,B020,A0000203,41.41,EUR,41.41,EUR,Credit Card,0
2025/04/10 12:45,B019,A0000161,B019,A0000310,115.86,EUR,115.86,EUR,Wire,0
2025/04/10 17:15,B015,A0000365,B003,A0000385,95.26,CAD,95.26,CAD,Wire,0
2025/04/11 00:21,B009,A0000189,B002,A0000195,172.22,USD,172.22,USD,Credit Card,0
2025/04/11 01:03,B005,A0000051,B015,A0000350,246.35,USD,246.35,USD,Credit Card,0
2025/04/11 10:56,B026,A0000047,B021,A0000394,59.82,GBP,59.82,GBP,ACH,0
2025/04/11 21:29,B019,A0000098,B009,A0000166,7883.8,EUR,7883.8,EUR,ACH,1
2025/04/11 21:39,B014,A0000053,B013,A0000185,152.63,CAD,194.28,GBP,Wire,0
2025/04/12 05:29,B007,A0000379,B016,A0000130,22.62,USD,22.62,USD,Wire,0
2025/04/12 15:18,B019,A0000098,B026,A0000388,7695.31,USD,7695.31,USD,ACH,1
2025/04/12 19:51,B024,A0000037,B007,A0000096,178.83,GBP,178.83,GBP,Wire,0
2025/04/13 03:15,B020,A0000121,B012,A0000164,142.16,USD,142.16,USD,Credit Card,0
2025/04/13 12:04,B002,A0000245,B013,A0000029,161.78,USD,161.78,USD,Credit Card,0
2025/04/13 21:48,B002,A0000171,B021,A0000317,175.78,EUR,175.78,EUR,Wire,0
2025/04/14 06:52,B007,A0000314,B017,A0000259,232.32,GBP,232.32,GBP,Wire,0
2025/04/14 17:13,B019,A0000371,B003,A0000119,48713.54,JPY,48713.54,JPY,Cash,1
2025/04/15 02:22,B029,A0000160,B023,A0000088,53.4,USD,53.4,USD,Wire,0
2025/04/15 03:05,B009,A0000253,B021,A0000222,49.94,USD,49.94,USD,ACH,0
2025/04/16 00:00,B026,A0000388,B002,A0000216,54.45,CAD,54.45,CAD,Wire,0
2025/04/16 19:06,B012,A0000164,B009,A0000320,249.09,USD,249.09,USD,Cheque,0
2025/04/17 16:39,B022,A0000061,B023,A0000106,712.97,USD,712.97,USD,ACH,0
2025/04/18 05:25,B012,A0000163,B023,A0000369,112.79,USD,112.79,USD,ACH,0
2025/04/19 07:38,B028,A0000336,B004,A0000177,11.57,EUR,11.57,EUR,ACH,0
2025/04/20 19:58,B009,A0000087,B016,A0000329,27.82,JPY,27.82,JPY,Cash,0
2025/04/20 23:04,B007,A0000379,B008,A0000095,72.51,GBP,72.51,GBP,Cheque,0
2025/04/21 06:32,B021,A0000235,B021,A0000014,98.15,EUR,98.15,EUR,ACH,0
2025/04/21 12:23,B004,A0000240,B005,A0000022,114.25,GBP,115.67,USD,Cash,0
2025/04/21 19:16,B002,A0000126,B001,A0000149,189.13,USD,189.13,USD,Wire,0
2025/04/21 23:26,B000,A0000368,B028,A0000381,128.65,USD,128.65,USD,Wire,0
2025/04/21 23:32,B021,A0000014,B013,A0000019,574.94,USD,574.94,USD,Cash,0
2025/04/22 02:21,B003,A0000119,B007,A0000147,86.18,USD,86.18,USD,ACH,0
2025/04/22 04:14,B005,A0000167,B010,A0000043,70.21,USD,70.21,USD,ACH,0
2025/04/22 07:12,B020,A0000190,B012,A0000372,306.97,USD,306.97,USD,Wire,0
2025/04/22 07:22,B009,A0000189,B008,A0000270,33.47,EUR,33.47,EUR,ACH,0
2025/04/22 18:20,B020,A0000059,B004,A0000305,278.29,EUR,278.29,EUR,Cheque,0
2025/04/22 23:06,B013,A0000090,B028,A0000285,202.92,USD,202.92,USD,ACH,0
2025/04/22 23:41,B008,A0000038,B008,A0000262,154.13,USD,154.13,USD,ACH,0
2025/04/23 02:59,B019,A0000098,B015,A0000295,10506.77,CAD,9323.72,GBP,ACH,1
2025/04/23 07:30,B029,A0000140,B013,A0000003,91.43,GBP,91.43,GBP,Wire,0
2025/04/24 12:33,B024,A0000226,B029,A0000346,1748.18,GBP,1748.18,GBP,ACH,0
2025/04/24 20:39,B021,A0000235,B015,A0000295,141.46,USD,141.46,USD,ACH,0
2025/04/24 20:42,B008,A0000280,B015,A0000295,39.71,EUR,44.49,GBP,Credit Card,0
2025/04/25 07:13,B013,A0000218,B016,A0000157,195.76,USD,195.76,USD,ACH,0
